word	frequency	zipf
ஒரு	10232929	7.01
00	10000000	7.00
இந்த	6918309	6.84
மற்றும்	4786300	6.68
என்ற	3890451	6.59
0000	3801893	6.58
நான்	3548133	6.55
தான்	3467368	6.54
என்று	3162277	6.50
000	3019951	6.48
இது	2951209	6.47
அந்த	2818382	6.45
உள்ள	2454708	6.39
என்	2454708	6.39
பல	2454708	6.39
அது	2398832	6.38
வேண்டும்	2290867	6.36
என்பது	2238721	6.35
இருக்கும்	2187761	6.34
இருந்து	2137962	6.33
இல்லை	2137962	6.33
மக்கள்	2137962	6.33
முதல்	2089296	6.32
என	2041737	6.31
அவர்	1949844	6.29
என்ன	1949844	6.29
சில	1905460	6.28
தமிழ்	1778279	6.25
போது	1737800	6.24
மேலும்	1737800	6.24
இன்று	1659586	6.22
அல்லது	1621810	6.21
அரசு	1548816	6.19
உள்ளது	1479108	6.17
தனது	1479108	6.17
மூலம்	1479108	6.17
ஆனால்	1412537	6.15
போன்ற	1412537	6.15
2	1348962	6.13
கொண்டு	1348962	6.13
வரும்	1348962	6.13
வரை	1348962	6.13
அதன்	1318256	6.12
நாம்	1318256	6.12
இரண்டு	1288249	6.11
எந்த	1288249	6.11
எனக்கு	1288249	6.11
கூட	1258925	6.10
வந்து	1258925	6.10
இந்திய	1202264	6.08
1	1174897	6.07
ஆண்டு	1174897	6.07
என்றும்	1122018	6.05
மட்டும்	1122018	6.05
அரசியல்	1071519	6.03
அவன்	1071519	6.03
அவர்கள்	1071519	6.03
உங்கள்	1047128	6.02
படம்	1047128	6.02
ஆம்	1023292	6.01
நல்ல	1023292	6.01
போல	1023292	6.01
அதை	1000000	6.00
அவரது	1000000	6.00
நாள்	1000000	6.00
மட்டுமே	1000000	6.00
மிகவும்	1000000	6.00
இன்னும்	977237	5.99
கொண்ட	977237	5.99
பி	977237	5.99
3	954992	5.98
பின்னர்	954992	5.98
பெரிய	954992	5.98
எப்படி	933254	5.97
எம்	933254	5.97
இருந்தது	912010	5.96
எல்லாம்	912010	5.96
விட்டு	912010	5.96
எஸ்	891250	5.95
தலைவர்	891250	5.95
பற்றி	891250	5.95
புதிய	891250	5.95
மீது	870963	5.94
சென்னை	851138	5.93
தன்	851138	5.93
முடியாது	851138	5.93
இதில்	831763	5.92
வேலை	831763	5.92
ஒன்று	812830	5.91
நீங்கள்	812830	5.91
பிறகு	812830	5.91
இருந்த	794328	5.90
செய்ய	794328	5.90
நம்	794328	5.90
என்றால்	776247	5.89
ஒரே	776247	5.89
பெண்	776247	5.89
பேர்	776247	5.89
மூன்று	776247	5.89
வந்த	776247	5.89
4	758577	5.88
ஏன்	758577	5.88
இருக்க	741310	5.87
செய்து	741310	5.87
பல்வேறு	741310	5.87
சேர்ந்த	724435	5.86
5	707945	5.85
அடுத்த	707945	5.85
இவர்	707945	5.85
என்னை	707945	5.85
முறை	707945	5.85
தமிழக	691830	5.84
தொடர்ந்து	691830	5.84
நீ	691830	5.84
இலங்கை	676082	5.83
காரணம்	676082	5.83
மத்திய	676082	5.83
இதன்	660693	5.82
இப்படி	660693	5.82
சரி	660693	5.82
பின்	660693	5.82
மீண்டும்	660693	5.82
அதிக	645654	5.81
ஒவ்வொரு	645654	5.81
டி	645654	5.81
ஆகிய	630957	5.80
மிக	630957	5.80
6	616595	5.79
the	616595	5.79
இரு	616595	5.79
செய்யும்	616595	5.79
தேசிய	616595	5.79
பார்த்து	616595	5.79
முடியும்	616595	5.79
விட	616595	5.79
அனைத்து	602559	5.78
இ	602559	5.78
பெண்கள்	602559	5.78
போல்	602559	5.78
மு	602559	5.78
வாழ்க்கை	602559	5.78
வைத்து	602559	5.78
அதே	588843	5.77
அவர்களின்	588843	5.77
இங்கு	588843	5.77
இந்தியா	588843	5.77
க	588843	5.77
பகுதியில்	588843	5.77
பெயர்	588843	5.77
மாதம்	588843	5.77
வெற்றி	588843	5.77
அன்று	575439	5.76
இதனால்	575439	5.76
இதை	575439	5.76
கலந்து	575439	5.76
திட்டம்	575439	5.76
வேண்டிய	575439	5.76
கொஞ்சம்	562341	5.75
நிலை	562341	5.75
நேரம்	562341	5.75
சொல்லி	549540	5.74
மாவட்ட	549540	5.74
முக்கிய	549540	5.74
அமைச்சர்	537031	5.73
இருக்கிறது	537031	5.73
என்னும்	537031	5.73
என்பதை	537031	5.73
கல்வி	537031	5.73
காரணமாக	537031	5.73
கோடி	537031	5.73
சி	537031	5.73
செய்த	537031	5.73
யார்	537031	5.73
7	524807	5.72
ஆர்	524807	5.72
தகவல்	524807	5.72
பற்றிய	524807	5.72
போய்	524807	5.72
a	512861	5.71
in	512861	5.71
அதிகம்	512861	5.71
அப்படி	512861	5.71
இருந்தாலும்	512861	5.71
காலத்தில்	512861	5.71
காலை	512861	5.71
தற்போது	512861	5.71
மாதிரி	512861	5.71
இடம்	501187	5.70
அல்ல	489778	5.69
உலக	489778	5.69
உள்ளன	489778	5.69
எல்லா	489778	5.69
கட்சி	489778	5.69
சொல்ல	489778	5.69
தேர்தல்	489778	5.69
பணம்	489778	5.69
